district,schools,classrooms,blackboards,playgrounds,toilets_common,toilets_boys,toilets_girls,libraries,books,computers,electricity_y,electricity_n,electricity_non,students,boys,girls,classrooms_repair,headmaster_rooms,teachers_male,teachers_female
BAGALKOT,2039,11665,13618,1497,319,2480,2652,1992,1735343,3584,1960,43,36,306554,159158,147396,1185,3043,7211,4759
BANGALORE NORTH,1953,20607,21985,1465,2426,5794,6055,1915,3042562,16483,1921,28,4,458986,234712,224274,457,2419,3755,14644
BANGALORE RURAL,1469,6631,8666,744,428,2195,2318,1441,1521941,3196,1441,11,17,118268,60798,57470,705,2498,3141,3906
BANGALORE SOUTH,2876,29490,31102,2013,2515,8751,8996,2817,4283151,24850,2842,28,6,642376,329615,312761,725,3580,5252,19543
BELGAUM,2197,12658,14104,1614,1145,3640,3788,2159,1928073,4640,1978,185,34,309680,160919,148761,1566,3373,6848,6719
BELLARY,2309,14304,15818,1375,1473,3252,3517,2210,2173506,5753,2125,135,49,370560,192275,178285,1344,3499,7631,7185
BIDAR,2356,13892,14239,1501,938,2579,2691,2072,1174431,4129,1792,192,372,337956,175266,162690,1349,3225,7792,6367
BIJAPUR,2993,16269,17701,2327,496,3153,3246,2805,2097048,5452,2702,168,123,405322,215398,189924,1583,4396,9583,5974
CHAMARAJANAGARA,1165,5512,6965,638,471,1546,1576,1128,1256273,2327,1030,90,45,116977,60092,56885,815,1838,3112,2751
CHIKKABALLAPURA,2142,9561,10922,1146,288,3236,3320,2099,1873702,4037,2059,38,45,164665,84784,79881,1203,3597,4647,4100
CHIKKAMANGALORE,2055,9097,11490,1506,1295,2836,3024,2029,2366544,4213,2000,26,29,135843,69855,65988,1205,3182,4905,4489
CHIKKODI,2864,15050,17132,2139,1174,4008,4087,2731,2181062,4429,2124,633,107,393904,206797,187107,1818,4474,9281,6120
CHITRADURGA,2390,10554,12543,1420,510,2972,3153,2338,2580929,3086,2275,86,29,222635,115244,107391,1331,3779,6796,5139
DAKSHINA KANNADA,1940,12481,15629,1748,1064,4694,5946,1931,3230321,9236,1911,29,0,269303,139237,130066,1624,2415,3145,8562
DAVANAGERE,2340,13337,14356,1569,1449,2923,3224,2299,2524927,4982,2224,40,76,275493,142446,133047,1524,3489,7656,6031
DHARWAD,1415,10547,12377,1055,757,2278,2334,1360,1594891,4482,1361,48,6,273449,139906,133543,1136,1964,4190,6343
GADAG,1067,6606,7311,842,1137,1293,1345,1000,1097410,2703,993,59,15,157693,81332,76361,779,1599,3958,3000
GULBARGA,3176,18980,19416,1974,1378,3708,4018,2961,1889567,6536,2916,174,86,461726,240978,220748,1742,4797,9204,9903
HASSAN,3422,13515,15694,1959,608,4340,4812,3370,3366850,5509,3344,44,34,204594,104472,100122,2726,5797,7087,6794
HAVERI,1789,9647,10992,1206,1908,2694,2884,1636,1242758,3458,1768,18,3,228304,117317,110987,1572,2716,6090,4432
KODAGU,679,3844,4715,581,0,1709,1978,667,1150821,2750,666,9,4,72294,37089,35205,557,859,1143,2933
KOLAR,2460,11133,13160,1459,0,3475,3629,2326,1712578,5017,2387,25,48,201243,102875,98368,1537,4065,4600,6121
KOPPAL,1475,8132,8710,1026,675,1565,1867,1356,1026026,3319,1377,85,13,224148,116927,107221,618,2484,5314,3759
MADHUGIRI,1686,6703,8129,981,236,2100,2309,1678,1810709,2372,1574,55,57,122489,63551,58938,849,2846,4299,2859
MANDYA,2519,11475,14387,1517,1120,3898,4103,2460,2843860,5247,2448,27,44,201881,105181,96700,1967,4033,5632,5510
MYSORE,3165,17316,20963,1926,1364,5758,6196,3097,3862123,11528,2975,123,67,378393,193985,184408,2029,4875,7582,10731
RAICHUR,2226,11546,11471,1338,1065,2681,2729,2040,1196638,3657,2151,27,48,307985,162116,145869,1008,3579,6747,6225
RAMANAGARA,1816,7211,9263,981,4,2819,2739,1805,1901585,3890,1794,7,15,122632,63462,59170,944,3067,3525,3877
SHIMOGA,2725,12296,13894,1805,711,3593,3937,2650,3453411,4350,2561,78,86,230024,118244,111780,1337,4264,5756,6194
TUMKUR,2977,11677,16316,1525,531,3907,4221,2959,3164424,4232,2850,63,64,201190,105813,95377,1934,5022,5901,6455
UDUPI,1236,7226,8722,1012,919,2415,2870,1217,1966787,5296,1209,25,2,132620,68529,64091,1264,1827,2655,4077
UTTARA KANNADA,1245,5316,6795,935,194,1661,1683,1236,1193946,1860,1236,6,3,88293,45411,42882,818,2028,2010,3476
YADAGIRI,1324,6172,6743,720,934,1244,1407,1144,636736,1699,1233,19,72,191142,103720,87422,664,2187,4045,2634
